agency_cd,site_no,date,discharge,gage_ht
USGS,5552500,6/13/1915,6450,10
USGS,5552500,3/27/1916,17800,14.1
USGS,5552500,3/14/1917,10200,11.6
USGS,5552500,2/15/1918,15500,13.4
USGS,5552500,3/18/1919,16000,13.55
USGS,5552500,3/26/1920,17900,14.2
USGS,5552500,4/27/1921,6740,10.3
USGS,5552500,12/18/1921,8680,11.1
USGS,5552500,3/23/1923,7720,10.7
USGS,5552500,8/9/1924,10100,11.6
USGS,5552500,9/23/1926,18000,15.8
USGS,5552500,2/5/1927,14000,14.4
USGS,5552500,7/4/1928,7500,11.5
USGS,5552500,3/31/1929,17100,15.5
USGS,5552500,4/21/1930,5700,10.4
USGS,5552500,6/24/1931,4050,9.3
USGS,5552500,3/27/1932,7700,
USGS,5552500,5/13/1933,8620,
USGS,5552500,11/7/1933,1780,7.5
USGS,5552500,3/11/1935,7860,11.7
USGS,5552500,2/26/1936,9180,12.4
USGS,5552500,2/21/1937,20100,16.5
USGS,5552500,1/25/1938,23100,17.5
USGS,5552500,3/13/1939,8590,12.1
USGS,5552500,3/3/1940,12400,13.8
USGS,5552500,3/11/1941,5270,10.1
USGS,5552500,3/17/1942,8110,11.87
USGS,5552500,5/21/1943,10600,13.14
USGS,5552500,3/15/1944,18000,15.83
USGS,5552500,6/28/1945,10900,13.32
USGS,5552500,1/10/1946,10500,13.1
USGS,5552500,4/6/1947,16200,15.2
USGS,5552500,3/19/1948,29000,19.65
USGS,5552500,2/14/1949,12700,14.1
USGS,5552500,4/25/1950,20600,16.76
USGS,5552500,7/9/1951,14000,14.55
USGS,5552500,6/14/1952,10500,13.1
USGS,5552500,6/11/1953,6130,10.61
USGS,5552500,6/4/1954,11000,12.92
USGS,5552500,10/11/1954,47100,24.63
USGS,5552500,5/12/1956,5790,10.15
USGS,5552500,7/13/1957,5450,10.02
USGS,5552500,6/14/1958,10200,12.48
USGS,5552500,4/28/1959,11200,13.03
USGS,5552500,4/18/1960,15300,14.83
USGS,5552500,9/26/1961,8040,11.36
USGS,5552500,3/20/1962,15300,14.52
USGS,5552500,3/4/1963,8000,11.24
USGS,5552500,4/22/1964,4870,9.42
USGS,5552500,3/21/1965,14900,14.61
USGS,5552500,5/12/1966,21400,16.74
USGS,5552500,4/2/1967,14900,14.13
USGS,5552500,8/18/1968,4770,9.22
USGS,5552500,12/28/1968,12500,13.14
USGS,5552500,6/3/1970,17000,14.98
USGS,5552500,2/20/1971,11400,12.65
USGS,5552500,6/15/1972,16000,14.58
USGS,5552500,4/23/1973,18300,15.34
USGS,5552500,5/17/1974,26800,18.59
USGS,5552500,4/28/1975,13700,13.51
USGS,5552500,3/6/1976,14000,13.82
USGS,5552500,9/1/1977,3380,8.56
USGS,5552500,6/26/1978,14000,13.61
USGS,5552500,3/20/1979,29800,17.35
USGS,5552500,9/8/1980,15400,13.8
USGS,5552500,6/14/1981,21400,15.49
USGS,5552500,3/13/1982,14800,13.63
USGS,5552500,12/3/1982,26000,17.17
USGS,5552500,2/13/1984,18500,19.8
USGS,5552500,3/5/1985,28400,17.7
USGS,5552500,11/20/1985,18100,15.09
USGS,5552500,8/27/1987,17700,14.93
USGS,5552500,4/7/1988,12000,
USGS,5552500,6/1/1989,7070,10.61
USGS,5552500,5/10/1990,13700,13.48
USGS,5552500,5/25/1991,15700,14.24
USGS,5552500,12/8/1991,6850,10.5
USGS,5552500,3/24/1993,16400,14.48
USGS,5552500,2/21/1994,19900,15.68
USGS,5552500,1/14/1995,14200,13.67
USGS,5552500,7/19/1996,55400,24.47
USGS,5552500,2/22/1997,41200,21.46
USGS,5552500,5/8/1998,12900,13.15
USGS,5552500,4/23/1999,14200,13.67
USGS,5552500,7/11/2000,11200,12.43
USGS,5552500,2/9/2001,13900,14.58
USGS,5552500,6/5/2002,16900,14.65
USGS,5552500,5/12/2003,6840,10.05
USGS,5552500,5/31/2004,15000,13.64
USGS,5552500,1/13/2005,9540,11.38
USGS,5552500,3/14/2006,4820,8.89
USGS,5552500,8/24/2007,28900,16.89
USGS,5552500,9/14/2008,44300,21.48
USGS,5552500,12/28/2008,22900,16.33
USGS,5552500,5/14/2010,15900,13.98
USGS,5552500,5/30/2011,15200,13.7
USGS,5552500,12/15/2011,6840,10.05
USGS,5552500,4/19/2013,38800,20.7
USGS,5552500,7/1/2014,9940,11.56
USGS,5552500,6/16/2015,18400,14.85
USGS,5552500,12/29/2015,14000,13.25
USGS,5552500,5/1/2017,17400,14.49